"Refs","Value","Footprint","Qty","DNP"
"C1","10µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"C2","0.1µF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C3","10µF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","Green","LED_THT:LED_D5.0mm","1",""
"D2","Blue","LED_THT:LED_D5.0mm","1",""
"D3","Red","LED_THT:LED_D5.0mm","1",""
"J1","ESP32-C3[L]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2","ESP32-C3[R]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J3","ADXL345","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J4","NEO-6M","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","1",""
"R1","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","330Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
